rank,score
1,0.6931613
2,0.6696415
3,0.6566562
4,0.64782244
5,0.6410509
6,0.63571185
7,0.631138
8,0.62731093
9,0.6238826
10,0.62082815
11,0.61805636
12,0.61552095
13,0.6132486
14,0.61114347
15,0.6090859
16,0.6072402
17,0.60542375
18,0.6037371
19,0.6021243
20,0.60059834
21,0.5991719
22,0.5977787
23,0.59647685
24,0.5952139
25,0.594051
26,0.59290844
27,0.5917803
28,0.59070957
29,0.5896562
30,0.58765346
31,0.58551407
32,0.58453095
33,0.58360523
34,0.5827126
35,0.5818451
36,0.5810284
37,0.5802013
38,0.5794106
39,0.5786514
40,0.57785034
41,0.57710373
42,0.5763814
43,0.57568663
44,0.57497996
45,0.5743074
46,0.5736549
47,0.5730197
48,0.57238233
49,0.5717654
50,0.5711711
51,0.5705931
52,0.57000893
53,0.5694388
54,0.5688713
55,0.5683143
56,0.5677732
57,0.5672418
58,0.5667267
59,0.56622285
60,0.5657211
61,0.5652327
62,0.5647606
63,0.5642662
64,0.56381005
65,0.5633463
66,0.5628883
67,0.56244504
68,0.5620001
69,0.56155777
70,0.5611209
71,0.5607005
72,0.56029254
73,0.55988014
74,0.5594775
75,0.55907774
76,0.55869603
77,0.5583193
78,0.55793536
79,0.55756456
80,0.55719393
81,0.5568213
82,0.5564516
83,0.5560869
84,0.55572426
85,0.555365
86,0.5550104
87,0.55466187
88,0.5543266
89,0.55398947
90,0.5536584
91,0.55332464
92,0.5529939
93,0.5526716
94,0.5523601
95,0.5520423
96,0.55173504
97,0.55141985
98,0.5511103
99,0.5508074
100,0.5505092
